DUID;Module;DataID;TypeData;NUID1;Parent1;LocalID1;NUID2;Parent2;LocalID2
291;Steer.ApM;OnChangeRudder;Event;;#N/A;#N/A;;#N/A;#N/A
292;Steer.ApM;OnChangeThrust;Event;;#N/A;#N/A;;#N/A;#N/A
295;Steer.ApM;OnChangeEngine;Event;;#N/A;#N/A;;#N/A;#N/A
301;Steer.ApA;OnChangeRef;Event;;#N/A;#N/A;;#N/A;#N/A
306;Steer.ApA;OnChangeCompass;Event;;#N/A;#N/A;;#N/A;#N/A
307;Steer.ApA;OnChangeRudder;Event;;#N/A;#N/A;;#N/A;#N/A
308;Steer.ApA;OnChangeThrust;Event;;#N/A;#N/A;;#N/A;#N/A
311;Steer.ApA;OnChangeEngine;Event;;#N/A;#N/A;;#N/A;#N/A
316;Steer.CpM;OnChangeCommandSteer;Event;;#N/A;#N/A;;#N/A;#N/A
324;Steer.CpM;OnChangeSteerMode;Event;;#N/A;#N/A;;#N/A;#N/A
335;Steer.CpA;OnChangeCommandSteer;Event;;#N/A;#N/A;;#N/A;#N/A
343;Steer.CpA;OnChangeSteerMode;Event;;#N/A;#N/A;;#N/A;#N/A
